Eph bin centers    value    Error 
 8.307100e+04   0.000000e+00   0.000000e+00
 8.326900e+04   0.000000e+00   0.000000e+00
 8.346700e+04   0.000000e+00   0.000000e+00
 8.366500e+04   0.000000e+00   0.000000e+00
 8.386300e+04   0.000000e+00   0.000000e+00
 8.406100e+04   0.000000e+00   0.000000e+00
 8.425900e+04   0.000000e+00   0.000000e+00
 8.445700e+04   0.000000e+00   0.000000e+00
 8.465500e+04   0.000000e+00   0.000000e+00
 8.485300e+04   0.000000e+00   0.000000e+00
 8.505100e+04   0.000000e+00   0.000000e+00
 8.524900e+04   0.000000e+00   0.000000e+00
 8.544700e+04   0.000000e+00   0.000000e+00
 8.564500e+04   0.000000e+00   0.000000e+00
 8.584300e+04   0.000000e+00   0.000000e+00
 8.604100e+04   0.000000e+00   0.000000e+00
 8.623900e+04   0.000000e+00   0.000000e+00
 8.643700e+04   0.000000e+00   0.000000e+00
 8.663500e+04   0.000000e+00   0.000000e+00
 8.683300e+04   0.000000e+00   0.000000e+00
 8.703100e+04   0.000000e+00   0.000000e+00
 8.722900e+04   0.000000e+00   0.000000e+00
 8.742700e+04   0.000000e+00   0.000000e+00
 8.762500e+04   0.000000e+00   0.000000e+00
 8.782300e+04   0.000000e+00   0.000000e+00
 8.802100e+04   0.000000e+00   0.000000e+00
 8.821900e+04   0.000000e+00   0.000000e+00
 8.841700e+04   0.000000e+00   0.000000e+00
 8.861500e+04   0.000000e+00   0.000000e+00
 8.881300e+04   0.000000e+00   0.000000e+00
 8.901100e+04   0.000000e+00   0.000000e+00
 8.920900e+04   0.000000e+00   0.000000e+00
 8.940700e+04   0.000000e+00   0.000000e+00
 8.960500e+04   0.000000e+00   0.000000e+00
 8.980300e+04   0.000000e+00   0.000000e+00
 9.000100e+04   0.000000e+00   0.000000e+00
 9.019900e+04   0.000000e+00   0.000000e+00
 9.039700e+04   0.000000e+00   0.000000e+00
 9.059500e+04   0.000000e+00   0.000000e+00
 9.079300e+04   0.000000e+00   0.000000e+00
 9.099100e+04   0.000000e+00   0.000000e+00
 9.118900e+04   0.000000e+00   0.000000e+00
 9.138700e+04   0.000000e+00   0.000000e+00
 9.158500e+04   0.000000e+00   0.000000e+00
 9.178300e+04   0.000000e+00   0.000000e+00
 9.198100e+04   0.000000e+00   0.000000e+00
 9.217900e+04   0.000000e+00   0.000000e+00
 9.237700e+04   0.000000e+00   0.000000e+00
 9.257500e+04   0.000000e+00   0.000000e+00
 9.277300e+04   0.000000e+00   0.000000e+00
 9.297100e+04   0.000000e+00   0.000000e+00
 9.316900e+04   0.000000e+00   0.000000e+00
 9.336700e+04   0.000000e+00   0.000000e+00
 9.356500e+04   0.000000e+00   0.000000e+00
 9.376300e+04   0.000000e+00   0.000000e+00
 9.396100e+04   0.000000e+00   0.000000e+00
 9.415900e+04   0.000000e+00   0.000000e+00
 9.435700e+04   0.000000e+00   0.000000e+00
