th3_cms_lab bin centers    value    Error 
 1.619350e-03   0.000000e+00   0.000000e+00
 1.619970e-03   0.000000e+00   0.000000e+00
 1.620590e-03   0.000000e+00   0.000000e+00
 1.621210e-03   0.000000e+00   0.000000e+00
 1.621830e-03   0.000000e+00   0.000000e+00
 1.622450e-03   0.000000e+00   0.000000e+00
 1.623070e-03   0.000000e+00   0.000000e+00
 1.623690e-03   0.000000e+00   0.000000e+00
 1.624310e-03   0.000000e+00   0.000000e+00
 1.624930e-03   0.000000e+00   0.000000e+00
 1.625550e-03   0.000000e+00   0.000000e+00
 1.626170e-03   0.000000e+00   0.000000e+00
 1.626790e-03   0.000000e+00   0.000000e+00
 1.627410e-03   0.000000e+00   0.000000e+00
 1.628030e-03   0.000000e+00   0.000000e+00
 1.628650e-03   0.000000e+00   0.000000e+00
 1.629270e-03   0.000000e+00   0.000000e+00
 1.629890e-03   0.000000e+00   0.000000e+00
 1.630510e-03   0.000000e+00   0.000000e+00
