Q2_GeV2,num,num_err,ana,diff,rel_diff_percent
1.694999999999999979e-02,8.520671016028466056e+02,1.548152518415963685e+00,8.520629260723993639e+02,4.175530447241726506e-03,4.900495397081662844e-04
1.704999999999999918e-02,8.451756431856579184e+02,1.750686470865996380e+00,8.417896000755142722e+02,3.386043110143646118e+00,4.022434002320645074e-01
1.714999999999999858e-02,8.308876840843990976e+02,1.370983665063061796e+00,8.316973841659895470e+02,-8.097000815904493720e-01,-9.735513144632543248e-02
1.724999999999999797e-02,8.234657921797926292e+02,1.341604099987953269e+00,8.217820685488095478e+02,1.683723630983081421e+00,2.048868788237714067e-01
1.735000000000000084e-02,8.121439417055853482e+02,1.576228077102229452e+00,8.120395647832202712e+02,1.043769223650770073e-01,1.285367448726973914e-02
1.745000000000000023e-02,8.048129301030979832e+02,1.680632584481460690e+00,8.024659016132898159e+02,2.347028489808167251e+00,2.924770367301171570e-01
1.754999999999999963e-02,7.910816458153336725e+02,1.719167562241745273e+00,7.930572209645414432e+02,-1.975575149207770664e+00,-2.491087776497404871e-01
1.764999999999999902e-02,7.817451338893839647e+02,1.940617934634666586e+00,7.838097740991527189e+02,-2.064640209768754175e+00,-2.634108782506168756e-01
1.774999999999999842e-02,7.758946565191530453e+02,1.487386919289345188e+00,7.747199179225798389e+02,1.174738596573206451e+00,1.516339736976533570e-01
1.784999999999999781e-02,7.683825329977983074e+02,1.639109051766804326e+00,7.657841114348374276e+02,2.598421562960879783e+00,3.393151573871464599e-01
1.795000000000000068e-02,7.554111436580083137e+02,1.691981042717725758e+00,7.569989123199894721e+02,-1.587768661981158402e+00,-2.097451708503903223e-01
1.805000000000000007e-02,7.470280142059300488e+02,1.497468523739172719e+00,7.483609736677459523e+02,-1.332959461815903524e+00,-1.781171799062447048e-01
1.814999999999999947e-02,7.413099982747380636e+02,1.695786405121520346e+00,7.398670408213401970e+02,1.442957453397866630e+00,1.950292922625682379e-01
1.824999999999999886e-02,7.303164455982920344e+02,1.349727086547947152e+00,7.315139483461726968e+02,-1.197502747880662355e+00,-1.637019704939338682e-01
1.834999999999999826e-02,7.243403042691207929e+02,6.979388543293988389e-01,7.232986171139539238e+02,1.041687155166869161e+00,1.440189612588121393e-01
1.844999999999999765e-02,7.162627768701979676e+02,1.370506389441903172e+00,7.152180514973505296e+02,1.044725372847437939e+00,1.460708899419197737e-01
1.855000000000000052e-02,7.085983440496941057e+02,1.366615590874326269e+00,7.072693366703787206e+02,1.329007379315385151e+00,1.879068284752695439e-01
1.864999999999999991e-02,7.009183030751723891e+02,1.360999757845609448e+00,6.994496360100099537e+02,1.468667065162435392e+00,2.099746700191887638e-01
1.874999999999999931e-02,6.940738880839700187e+02,1.215266236495741614e+00,6.917561885946806797e+02,2.317699489289338999e+00,3.350457180582368522e-01
1.884999999999999870e-02,6.816628564299762729e+02,1.704695075909110180e+00,6.841863067955980569e+02,-2.523450365621783931e+00,-3.688250320940242855e-01
