Eph_cms bin centers    value    Error 
 4.875500e+04   0.000000e+00   0.000000e+00
 4.885460e+04   0.000000e+00   0.000000e+00
 4.895420e+04   0.000000e+00   0.000000e+00
 4.905380e+04   0.000000e+00   0.000000e+00
 4.915340e+04   0.000000e+00   0.000000e+00
 4.925300e+04   0.000000e+00   0.000000e+00
 4.935260e+04   0.000000e+00   0.000000e+00
 4.945220e+04   0.000000e+00   0.000000e+00
 4.955180e+04   0.000000e+00   0.000000e+00
 4.965140e+04   0.000000e+00   0.000000e+00
 4.975100e+04   0.000000e+00   0.000000e+00
 4.985060e+04   0.000000e+00   0.000000e+00
 4.995020e+04   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
