phi5_x_lab bin centers    value    Error 
 2.640000e-04   1.872685e-03   5.224690e-04
 3.120000e-04   1.869142e-03   6.245804e-04
 3.600000e-04   5.537335e-04   1.828606e-04
 4.080000e-04   1.311901e-03   4.960514e-04
 4.560000e-04   3.078320e-04   1.969683e-04
 5.040000e-04   1.798222e-03   7.051154e-04
 5.520000e-04   2.413867e-03   6.105729e-04
 6.000000e-04   2.963535e-03   8.741591e-04
 6.480000e-04   1.400809e-03   4.276926e-04
 6.960000e-04   2.576220e-03   6.877314e-04
 7.440000e-04   3.585240e-03   1.207182e-03
 7.920000e-04   1.088308e-03   3.935955e-04
 8.400000e-04   8.997284e-05   4.800587e-05
 8.880000e-04   1.376947e-03   3.937824e-04
 9.360000e-04   4.589689e-04   2.053436e-04
 9.840000e-04   5.544463e-04   2.712848e-04
 1.032000e-03   1.109526e-03   4.887374e-04
 1.080000e-03   3.284014e-03   1.357441e-03
 1.128000e-03   1.263267e-03   5.583525e-04
 1.176000e-03   3.303249e-03   7.298942e-04
 1.224000e-03   2.142535e-03   6.652534e-04
 1.272000e-03   2.256632e-03   7.149249e-04
 1.320000e-03   7.775450e-03   3.286423e-03
 1.368000e-03   1.337524e-03   3.939709e-04
 1.416000e-03   2.228048e-03   4.947718e-04
 1.464000e-03   3.608644e-03   1.409358e-03
 1.512000e-03   8.671382e-04   3.850376e-04
 1.560000e-03   1.561148e-03   3.657778e-04
 1.608000e-03   2.591516e-03   6.871028e-04
 1.656000e-03   2.179440e-03   6.646347e-04
 1.704000e-03   3.143988e-04   1.080362e-04
 1.752000e-03   1.668782e-03   6.273315e-04
 1.800000e-03   1.506710e-03   5.377523e-04
 1.848000e-03   4.540104e-04   2.392770e-04
 1.896000e-03   1.609862e-03   6.783889e-04
 1.944000e-03   2.391035e-03   8.023051e-04
 1.992000e-03   4.561070e-03   1.358030e-03
 2.040000e-03   3.018300e-03   8.379714e-04
 2.088000e-03   2.165828e-04   1.235021e-04
 2.136000e-03   3.700498e-03   1.237347e-03
 2.184000e-03   2.859253e-03   7.419818e-04
 2.232000e-03   3.561378e-04   1.429924e-04
 2.280000e-03   9.254686e-03   2.869364e-03
 2.328000e-03   2.516337e-03   6.721768e-04
 2.376000e-03   1.655169e-03   5.104048e-04
 2.424000e-03   2.522075e-04   9.054046e-05
 2.472000e-03   1.450064e-03   3.204976e-04
 2.520000e-03   3.286734e-03   9.866517e-04
 2.568000e-03   2.643434e-03   7.579578e-04
 2.616000e-03   1.878112e-03   6.517459e-04
 2.664000e-03   1.591952e-03   4.852154e-04
 2.712000e-03   1.005096e-03   3.452859e-04
 2.760000e-03   2.077560e-03   8.348496e-04
 2.808000e-03   4.344082e-03   1.056184e-03
 2.856000e-03   2.729817e-03   6.633410e-04
 2.904000e-03   1.161117e-02   4.736222e-03
 2.952000e-03   2.825194e-03   7.821967e-04
 3.000000e-03   2.705106e-03   7.687839e-04
 3.048000e-03   5.505310e-05   3.832433e-05
 3.096000e-03   1.788829e-03   5.175756e-04
 3.144000e-03   4.107135e-03   1.398539e-03
 3.192000e-03   7.469164e-03   2.284188e-03
 3.240000e-03   3.899747e-03   1.170664e-03
 3.288000e-03   2.553585e-03   8.637692e-04
 3.336000e-03   3.902126e-03   1.580907e-03
 3.384000e-03   3.464858e-03   7.870887e-04
 3.432000e-03   1.488131e-03   5.214515e-04
 3.480000e-03   9.388636e-04   3.093970e-04
 3.528000e-03   2.779360e-03   8.693590e-04
 3.576000e-03   4.543121e-03   1.674987e-03
 3.624000e-03   3.332196e-04   1.344690e-04
 3.672000e-03   6.936457e-04   3.595882e-04
 3.720000e-03   1.445872e-03   5.439339e-04
 3.768000e-03   1.974129e-03   4.966926e-04
 3.816000e-03   2.897350e-03   8.208154e-04
 3.864000e-03   1.583613e-03   4.962315e-04
 3.912000e-03   6.946098e-04   2.559011e-04
 3.960000e-03   3.324432e-03   9.313382e-04
 4.008000e-03   2.436402e-03   7.647649e-04
 4.056000e-03   3.579636e-04   2.626596e-04
 4.104000e-03   1.513113e-04   7.195950e-05
 4.152000e-03   4.532233e-04   1.835513e-04
 4.200000e-03   3.102155e-03   8.627157e-04
 4.248000e-03   2.202711e-03   4.552849e-04
 4.296000e-03   2.208970e-03   7.885995e-04
 4.344000e-03   2.142110e-03   4.539016e-04
 4.392000e-03   4.352274e-03   1.299377e-03
 4.440000e-03   2.187498e-03   1.064466e-03
 4.488000e-03   2.148444e-03   6.241583e-04
