y5lab bin centers    value    Error 
-2.230000e-01   0.000000e+00   0.000000e+00
-2.210000e-01   0.000000e+00   0.000000e+00
-2.190000e-01   0.000000e+00   0.000000e+00
-2.170000e-01   0.000000e+00   0.000000e+00
-2.150000e-01   0.000000e+00   0.000000e+00
-2.130000e-01   0.000000e+00   0.000000e+00
-2.110000e-01   0.000000e+00   0.000000e+00
-2.090000e-01   0.000000e+00   0.000000e+00
-2.070000e-01   0.000000e+00   0.000000e+00
-2.050000e-01   0.000000e+00   0.000000e+00
-2.030000e-01   0.000000e+00   0.000000e+00
-2.010000e-01   0.000000e+00   0.000000e+00
-1.990000e-01   0.000000e+00   0.000000e+00
-1.970000e-01   0.000000e+00   0.000000e+00
-1.950000e-01   0.000000e+00   0.000000e+00
-1.930000e-01   0.000000e+00   0.000000e+00
-1.910000e-01   0.000000e+00   0.000000e+00
-1.890000e-01   0.000000e+00   0.000000e+00
-1.870000e-01   0.000000e+00   0.000000e+00
-1.850000e-01   0.000000e+00   0.000000e+00
-1.830000e-01   0.000000e+00   0.000000e+00
-1.810000e-01   0.000000e+00   0.000000e+00
-1.790000e-01   0.000000e+00   0.000000e+00
-1.770000e-01   0.000000e+00   0.000000e+00
-1.750000e-01   0.000000e+00   0.000000e+00
-1.730000e-01   0.000000e+00   0.000000e+00
-1.710000e-01   0.000000e+00   0.000000e+00
-1.690000e-01   0.000000e+00   0.000000e+00
-1.670000e-01   0.000000e+00   0.000000e+00
-1.650000e-01   0.000000e+00   0.000000e+00
-1.630000e-01   0.000000e+00   0.000000e+00
-1.610000e-01   0.000000e+00   0.000000e+00
-1.590000e-01   0.000000e+00   0.000000e+00
-1.570000e-01   0.000000e+00   0.000000e+00
-1.550000e-01   0.000000e+00   0.000000e+00
-1.530000e-01   0.000000e+00   0.000000e+00
-1.510000e-01   0.000000e+00   0.000000e+00
-1.490000e-01   0.000000e+00   0.000000e+00
-1.470000e-01   0.000000e+00   0.000000e+00
-1.450000e-01   0.000000e+00   0.000000e+00
-1.430000e-01   0.000000e+00   0.000000e+00
-1.410000e-01   0.000000e+00   0.000000e+00
-1.390000e-01   0.000000e+00   0.000000e+00
-1.370000e-01   0.000000e+00   0.000000e+00
-1.350000e-01   0.000000e+00   0.000000e+00
-1.330000e-01   0.000000e+00   0.000000e+00
-1.310000e-01   0.000000e+00   0.000000e+00
-1.290000e-01   0.000000e+00   0.000000e+00
-1.270000e-01   0.000000e+00   0.000000e+00
-1.250000e-01   0.000000e+00   0.000000e+00
-1.230000e-01   0.000000e+00   0.000000e+00
-1.210000e-01   0.000000e+00   0.000000e+00
-1.190000e-01   0.000000e+00   0.000000e+00
-1.170000e-01   0.000000e+00   0.000000e+00
-1.150000e-01   0.000000e+00   0.000000e+00
