th3 bin centers    value    Error 
 1.063300e-03   0.000000e+00   0.000000e+00
 1.066700e-03   0.000000e+00   0.000000e+00
 1.070100e-03   0.000000e+00   0.000000e+00
 1.073500e-03   0.000000e+00   0.000000e+00
 1.076900e-03   0.000000e+00   0.000000e+00
 1.080300e-03   0.000000e+00   0.000000e+00
 1.083700e-03   0.000000e+00   0.000000e+00
 1.087100e-03   0.000000e+00   0.000000e+00
 1.090500e-03   0.000000e+00   0.000000e+00
 1.093900e-03   0.000000e+00   0.000000e+00
 1.097300e-03   0.000000e+00   0.000000e+00
 1.100700e-03   0.000000e+00   0.000000e+00
 1.104100e-03   0.000000e+00   0.000000e+00
 1.107500e-03   0.000000e+00   0.000000e+00
 1.110900e-03   0.000000e+00   0.000000e+00
 1.114300e-03   0.000000e+00   0.000000e+00
 1.117700e-03   0.000000e+00   0.000000e+00
 1.121100e-03   0.000000e+00   0.000000e+00
 1.124500e-03   0.000000e+00   0.000000e+00
 1.127900e-03   0.000000e+00   0.000000e+00
 1.131300e-03   0.000000e+00   0.000000e+00
 1.134700e-03   0.000000e+00   0.000000e+00
 1.138100e-03   0.000000e+00   0.000000e+00
 1.141500e-03   0.000000e+00   0.000000e+00
 1.144900e-03   0.000000e+00   0.000000e+00
 1.148300e-03   0.000000e+00   0.000000e+00
 1.151700e-03   0.000000e+00   0.000000e+00
 1.155100e-03   0.000000e+00   0.000000e+00
 1.158500e-03   0.000000e+00   0.000000e+00
 1.161900e-03   0.000000e+00   0.000000e+00
 1.165300e-03   0.000000e+00   0.000000e+00
 1.168700e-03   0.000000e+00   0.000000e+00
 1.172100e-03   0.000000e+00   0.000000e+00
 1.175500e-03   0.000000e+00   0.000000e+00
 1.178900e-03   0.000000e+00   0.000000e+00
 1.182300e-03   0.000000e+00   0.000000e+00
 1.185700e-03   0.000000e+00   0.000000e+00
 1.189100e-03   0.000000e+00   0.000000e+00
 1.192500e-03   0.000000e+00   0.000000e+00
 1.195900e-03   0.000000e+00   0.000000e+00
 1.199300e-03   0.000000e+00   0.000000e+00
 1.202700e-03   0.000000e+00   0.000000e+00
 1.206100e-03   0.000000e+00   0.000000e+00
 1.209500e-03   0.000000e+00   0.000000e+00
 1.212900e-03   0.000000e+00   0.000000e+00
 1.216300e-03   0.000000e+00   0.000000e+00
 1.219700e-03   0.000000e+00   0.000000e+00
 1.223100e-03   0.000000e+00   0.000000e+00
 1.226500e-03   0.000000e+00   0.000000e+00
 1.229900e-03   0.000000e+00   0.000000e+00
 1.233300e-03   0.000000e+00   0.000000e+00
 1.236700e-03   0.000000e+00   0.000000e+00
 1.240100e-03   0.000000e+00   0.000000e+00
 1.243500e-03   0.000000e+00   0.000000e+00
 1.246900e-03   0.000000e+00   0.000000e+00
 1.250300e-03   0.000000e+00   0.000000e+00
 1.253700e-03   0.000000e+00   0.000000e+00
 1.257100e-03   0.000000e+00   0.000000e+00
 1.260500e-03   0.000000e+00   0.000000e+00
 1.263900e-03   0.000000e+00   0.000000e+00
 1.267300e-03   0.000000e+00   0.000000e+00
 1.270700e-03   0.000000e+00   0.000000e+00
 1.274100e-03   0.000000e+00   0.000000e+00
 1.277500e-03   0.000000e+00   0.000000e+00
 1.280900e-03   0.000000e+00   0.000000e+00
 1.284300e-03   0.000000e+00   0.000000e+00
 1.287700e-03   0.000000e+00   0.000000e+00
 1.291100e-03   0.000000e+00   0.000000e+00
 1.294500e-03   0.000000e+00   0.000000e+00
 1.297900e-03   0.000000e+00   0.000000e+00
 1.301300e-03   0.000000e+00   0.000000e+00
 1.304700e-03   0.000000e+00   0.000000e+00
 1.308100e-03   0.000000e+00   0.000000e+00
 1.311500e-03   0.000000e+00   0.000000e+00
 1.314900e-03   0.000000e+00   0.000000e+00
 1.318300e-03   0.000000e+00   0.000000e+00
 1.321700e-03   0.000000e+00   0.000000e+00
 1.325100e-03   0.000000e+00   0.000000e+00
